InChI Key (ID),Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
XQPRBTXUXXVTKB-UHFFFAOYSA-M,Cesium iodide,CsI,259.81,4.51,InChI=1S/Cs.HI/h;1H/q+1;/p-1,inorganic,[I-].[Cs+],CsI,,,,,,Sigma: 203033-10G,,https://pubchem.ncbi.nlm.nih.gov/compound/24601
ZMXDDKWLCZADIW-UHFFFAOYSA-N,Dimethylformamide,DMF,73.10,0.944,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",solvent,CN(C)C=O,C3H7NO,,"Model[Sample, Chemical, ""id:rea9jl1orrq3""]",,"Anhydrous DMF.  Note.  ECL maintains this as a stocked item, so we do not have to both with a product number",,,,
BCQZYUOYVLJOPE-UHFFFAOYSA-N,"Ethane-1,2-diammonium bromide",EthylenediamineDihydrobromide,221.92,2.067161,InChI=1S/C2H8N2.2BrH/c3-1-2-4;;/h1-4H2;2*1H,organic,C(C[NH3+])[NH3+].[Br-].[Br-],C2H10Br2N2,164699,,,,,greatcell: MS302002-10; sigma: 900833-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/900833?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/Ethylenediamine-dihydrobromide
IWNWLPUNKAYUAW-UHFFFAOYSA-N,"Ethane-1,2-diammonium iodide",EthylenediamineDihydriodide,315.93,2.5448180000000002,InChI=1S/C2H8N2.2HI/c3-1-2-4;;/h1-4H2;2*1H,organic,C(C[NH3+])[NH3+].[I-].[I-],C2H10I2N2,,"Model[Sample, Chemical, ""id:Vrbp1jKKWxpo""]","Object[Product, ""id:XnlV5jKK6xVz""]",,,Sigma: 900852-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/900852?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/5700-49-2#section=Names-and-Identifiers
PNZDZRMOBIIQTC-UHFFFAOYSA-N,Ethylammonium bromide,EtNH3Br,126.00,1.671914,"InChI=1S/C2H7N.BrH/c1-2-3;/h2-3H2,1H3;1H",organic,CC[NH3+].[Br-],C2H8BrN,,,,,,Sigma: 900868-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900868?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/68974
QWANGZFTSGZRPZ-UHFFFAOYSA-N,Formamidinium bromide,FABr,124.97,2.005249,"InChI=1S/CH4N2.BrH/c2-1-3;/h1H,(H3,2,3);1H",organic,C(=[NH2+])N.[Br-],CH5BrN2,89907631,,,,,Sigma: 900835-25G; GreatCellSolar: CAS RN: 146958-06-7,https://www.sigmaaldrich.com/catalog/product/aldrich/900835?lang=en&region=US,
VQNVZLDDLJBKNS-UHFFFAOYSA-N,Guanidinium bromide,GnNH3Br,139.98,1.9993049999999999,"InChI=1S/CH5N3.BrH/c2-1(3)4;/h(H5,2,3,4);1H",organic,C(=[NH2+])(N)N.[Br-],CH6BrN3,129656112,,,,,Sigma: 900839-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900839?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/71282
VMLAEGAAHIIWJX-UHFFFAOYSA-N,i-Propylammonium iodide,iPropylammoniumIodide,187.02,1.8419349999999999,"InChI=1S/C3H9N.HI/c1-3(2)4;/h3H,4H2,1-2H3;1H",organic,CC(C)[NH3+].[I-],C3H10IN,,"Model[Sample, Chemical, ""id:54n6evLLZMBN""]","Object[Product, ""id:n0k9mG88nWNw""]",,,greatcell: MS104000-100,https://www.sigmaaldrich.com/catalog/product/aldrich/805882?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/91972165#section=Top
JBOIAZWJIACNJF-UHFFFAOYSA-N,Imidazolium Iodide,ImidazoliumIodide,195.99,2.34327,"InChI=1S/C3H4N2.HI/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H",organic,C1=CN=C[NH2+]1.[I-],C3H5IN2,,,,,,greatcell: MS-170000-100,,PubChem
RFYSBVUZWGEPBE-UHFFFAOYSA-N,iso-Butylammonium bromide,iButylammoniumBromide,154.05,1.414965,"InChI=1S/C4H11N.BrH/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H",organic,CC(C)C[NH3+].[Br-],C4H12BrN,89264112,,,,,greatcell: MS307000-10; sigma: 900869-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900869?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/89264112
